gene_id,alpha,f,mu,theta
LOC105447953,0.476188587538,0.29375413456,0.00109918239238,0.0111362890718
LOC105447954,-4.9999918371,0.235737519707,0.0193610912447,0.0159053393219
LOC105447955,0.436715847459,0.162702773944,2.2194140373e-14,0.011945962223
LOC105447956,0.591431187636,0.156585053106,8.74922702707e-16,0.00885349358991
LOC105447957,NA,9.22456334543e-13,0.00603026011828,0.00449496398708
LOC105447958,NA,0.999999999995,3.33582041102e-14,6.11954420496e-4
LOC105447959,NA,0.119211987752,7.80548869578e-15,0.00909219592336
LOC105447960,0.305017779751,0.743659704398,0.00672918656395,0.0103058209729
LOC105447961,0.278996797514,0.79495644872,1.69226021559e-14,0.00699627733379
LOC105447962,0.272724563876,0.251749018325,0.00228338249126,0.00851424643739
LOC105447963,-0.166654225088,0.704583066439,0.00892315053324,0.0096231615557
LOC105447964,NA,0.153679702179,2.62625195636e-14,0.00999468612004
LOC105447965,NA,1.78815620622e-13,9.81472479145e-15,0.00975536046179
LOC105447966,0.278996119901,0.188611297437,3.27707034366e-14,0.0190112270259
LOC105447967,0.727273734077,0.0652316295163,0.00781748092,0.0117798321893
LOC105447968,0.222221310295,0.120574647326,0.0551758679613,0.005731210337
LOC105447969,0.142856604642,0.400654759931,0.00783129346273,0.00583746583386
